"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
56.64697,12.762597,2024,8,"Sweden","HUMAN_OBSERVATION",56.65,12.85,5.36,1068,866,2291,1858,6486,1239,1591,1322,1627,1433
50.54246,-4.937009,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-5.04999999999999,8.04,726,583,837,816,4981,1492,173,67,245,218
48.351273,-4.569283,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,575,570,4783,1413,238,226,97,60
48.351273,-4.569283,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,575,570,4783,1413,238,226,97,60
54.521154,-5.663745,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1163,689,1278,1258,5409,1694,609,473,682,656
51.328779,-3.035956,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,909,431,1020,888,5164,1384,355,133,427,298
50.54246,-4.937009,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-5.04999999999999,8.04,726,583,837,816,4981,1492,173,67,245,218
54.397987,8.665996,2024,8,"Germany","HUMAN_OBSERVATION",54.45,8.65000000000001,5.88,525,506,1763,1499,5958,1053,1062,981,1098,1080
56.64694,12.76266,2024,8,"Sweden","HUMAN_OBSERVATION",56.65,12.85,5.36,1068,866,2291,1858,6486,1239,1591,1322,1627,1433
53.586432,-6.106582,2024,9,"Ireland","HUMAN_OBSERVATION",53.55,-6.04999999999999,5.52,1055,671,1170,1157,5291,1669,501,377,574,557
54.594451,-5.510557,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.44999999999999,6.31,1162,678,1277,1259,5408,1684,609,474,681,657
