"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
55.63582,13.03798,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1144,810,1759,1297,6331,2437,440,382,2368,1787,6563,1126,379,379,399,284,6530,1245,6530,1245,1703,1389,240,241,870,766,2583,2169
56.57973,16.40628,2025,4,"Sweden","HUMAN_OBSERVATION",56.55,16.35,4.78,1446,1039,2061,1196,6633,2449,283,275,2669,2009,6864,1242,683,406,701,448,6831,1375,6831,1375,2005,1619,543,307,560,546,2884,2397
55.47874,12.95631,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1160,797,1774,1315,6346,2424,417,382,2383,1771,6578,1109,396,394,415,289,6545,1227,6545,1227,1718,1377,256,257,846,782,2598,2155
56.28417,12.49374,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1066,824,1681,1227,6253,2517,512,440,2290,1813,6484,1200,301,300,321,222,6452,1316,6452,1316,1625,1394,162,162,941,747,2504,2183
59.884897,10.614502,2025,4,"Norway","HUMAN_OBSERVATION",59.85,10.55,5.3,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
59.884897,10.614502,2025,4,"Norway","HUMAN_OBSERVATION",59.85,10.55,5.3,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
54.093411,13.869628,2025,5,"Germany","HUMAN_OBSERVATION",54.15,13.85,6.43,1316,786,1931,1460,6503,2266,365,314,2540,1719,6735,960,553,553,572,431,6702,1084,6702,1084,1875,1373,413,415,860,852,2755,2126
51.26935,3.21353,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,10.01,0,0,1963,1881,5233,2499,1576,1096,1269,1004,5464,1006,983,978,760,728,5431,1029,5431,1029,605,588,956,896,2006,1570,1484,1360
57.568891,11.790773,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,952,889,1566,1089,6139,2664,663,551,2176,1891,6371,1346,150,151,207,181,6338,1460,6338,1460,1511,1437,11,13,1092,710,2391,2239
44.632563,34.389654,2024,1,"Ukraine","HUMAN_OBSERVATION",44.65,34.45,5.16,Inf,2430,Inf,2775,Inf,1302,Inf,1573,Inf,2982,Inf,1642,Inf,2237,Inf,2229,Inf,1751,Inf,1751,Inf,2942,Inf,2132,Inf,1850,Inf,3469
