"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Toralla_seaway","Toralla_geodesic"
50.147679,-5.056418,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,474,961,926
50.147731,-5.057821,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,926
50.143487,-5.044075,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,474,961,926
43.423736,-2.721078,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1259,1209,672,513
43.42403,-2.721101,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1259,1209,672,513
38.687501,-9.358297,2024,3,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
38.688317,-9.361163,2024,3,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1648,1619,423,396
36.083416,-5.764354,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2135,1933,910,730
43.386377,-3.003956,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1258,1204,651,489
36.07335,-5.751998,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2135,1934,910,732
43.331574,5.24224,2024,3,"France","HUMAN_OBSERVATION",43.25,5.25000000000001,9.1,3456,1568,2231,1153
42.460447,3.156703,2024,4,"France","HUMAN_OBSERVATION",42.55,3.15000000000001,9.98,3311,1527,2086,982
43.433268,-2.869653,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1255,1204,663,501
39.368879,-9.379025,2024,4,"Portugal","HUMAN_OBSERVATION",39.35,-9.44999999999999,6.46,1562,1545,334,325
39.369012,-9.379288,2024,4,"Portugal","HUMAN_OBSERVATION",39.35,-9.44999999999999,6.44,1562,1545,334,325
42.441766,3.16817,2024,4,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.78,3299,1541,2073,991
42.441572,3.16823,2024,4,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.78,3299,1541,2073,991
42.44158,3.168038,2024,4,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.8,3299,1541,2073,991
43.467152,-3.773215,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1223,1174,591,432
42.247016,3.180613,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3275,1556,2050,986
50.14046,-5.074928,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,924
50.140492,-5.075161,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,924
50.140761,-5.074085,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.482096,-3.835484,2024,4,"Spain","HUMAN_OBSERVATION",43.55,-3.84999999999999,7.65,1210,1163,579,428
43.482271,-3.835103,2024,4,"Spain","HUMAN_OBSERVATION",43.55,-3.84999999999999,7.63,1210,1163,579,428
50.140662,-5.074664,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
43.177661,5.372465,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.215062,5.32613,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.177719,5.37271,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.177208,5.372332,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.177719,5.37271,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.213914,5.325333,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.213722,5.325577,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.214031,5.325582,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.197234,5.361392,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1578,2229,1162
43.214279,5.325234,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.215091,5.325183,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
43.228902,5.347958,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1161
43.215056,5.326428,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1575,2237,1159
