"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
47.119463,-2.172358,2025,2,"France","HUMAN_OBSERVATION",47.15,-2.24999999999999,6.79,937,610,1873,1577,1653,1330,334,216,828,752
49.444775,-1.208587,2025,2,"France","HUMAN_OBSERVATION",49.45,-1.14999999999999,4.28,380,372,1330,1315,1110,1072,263,221,1143,997
49.466543,-1.253107,2025,2,"France","HUMAN_OBSERVATION",49.55,-1.24999999999999,9.29,380,371,1326,1310,1106,1067,250,219,1130,1001
48.343098,-4.438339,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,708,640,1644,1552,1424,1315,105,54,806,760
51.963379,1.365569,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.95,1.45000000000001,5.98,141,135,988,982,770,739,567,527,1447,1328
53.399586,5.382919,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,270,274,718,705,494,455,843,836,1723,1627
50.81905,-0.139097,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-0.14999999999999,7.72,262,241,1198,1155,978,913,354,356,1230,1154
40.226834,-8.888976,2025,2,"Portugal","HUMAN_OBSERVATION",40.25,-8.94999999999999,5.79,1697,1547,2633,2507,2413,2264,1094,1020,226,220
52.313331,1.670373,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.35,1.75000000000001,6.78,149,147,940,934,722,692,615,572,1494,1376
38.644882,-9.089991,2025,2,"Portugal","HUMAN_OBSERVATION",38.75,-9.04999999999999,12.21,1911,1693,2847,2660,2627,2415,1308,1180,452,387
54.653962,-5.816288,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,1489,1132,1381,964,699,673,1445,1399
48.316027,-4.286362,2025,2,"France","HUMAN_OBSERVATION",48.35,-4.34999999999999,6.04,715,634,1651,1548,1431,1311,112,50,811,764
52.951683,0.49535,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,286,254,940,933,734,702,763,566,1642,1379
48.623074,-1.722091,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,539,463,1475,1415,1255,1171,180,166,1061,899
52.05,4.2,2025,2,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,3.42,106,104,884,877,660,626,700,685,1580,1463
