"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic"
36.721133,-3.727677,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.17,2890,1751
36.7244,-3.730979,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.45,2890,1751
38.390375,-28.252361,2024,6,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,5143,3515
40.740303,24.144272,2024,6,"Greece","HUMAN_OBSERVATION",40.75,24.25,8.98,1677,1017
36.695357,-2.846138,2024,6,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2810,1686
40.894054,24.337017,2024,6,"Greece","HUMAN_OBSERVATION",NA,NA,NA,1686,1014
41.374072,2.190539,2024,6,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.64,2372,1025
41.371233,2.189278,2024,6,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.6,2372,1025
37.057492,15.295778,2024,7,"Italy","HUMAN_OBSERVATION",37.05,15.35,4.89,1188,952
39.840093,2.775103,2024,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2308,1085
37.630366,-0.681016,2024,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1473
37.630366,-0.681016,2024,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1473
42.041491,3.229073,2024,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2307,917
38.968868,20.710697,2024,7,"Greece","HUMAN_OBSERVATION",NA,NA,NA,968,936
38.968474,20.711107,2024,7,"Greece","HUMAN_OBSERVATION",NA,NA,NA,968,936
41.376619,2.192078,2024,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.67,2372,1025
41.37665,2.192077,2024,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.68,2372,1025
41.37665,2.192077,2024,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.68,2372,1025
41.37665,2.192077,2024,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.68,2372,1025
41.37665,2.192077,2024,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.68,2372,1025
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
37.651675,-0.651454,2024,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2582,1469
36.698808,-2.857847,2024,12,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2810,1687
39.317671,2.999372,2023,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2271,1108
41.85101,8.76166,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.85101,8.76166,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
36.489589,-4.700797,2023,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2986,1828
43.42472,3.7,2023,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2313,825
43.40714,6.77323,2023,4,"France","HUMAN_OBSERVATION",43.35,6.75000000000001,6.63,2095,594
41.8404,8.74248,2023,4,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.85043,8.75475,2023,4,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,563
43.54808,7.1401,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,556
41.408179,2.22657,2023,5,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,6.77,2372,1025
37.012894,-8.930074,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.22,3409,2104
37.011627,-8.930447,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.08,3409,2104
37.012505,-8.929813,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.19,3409,2104
37.01164,-8.930438,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.08,3409,2104
37.012243,-8.930303,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.15,3409,2104
37.010777,-8.929406,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.01,3409,2104
37.012175,-8.93034,2023,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.14,3409,2104
38.088623,12.806629,2023,5,"Italy","HUMAN_OBSERVATION",38.15,12.85,7.82,1384,821
39.936162,3.935479,2023,5,"Spain","HUMAN_OBSERVATION",39.85,3.95000000000001,9.67,2199,1008
39.755529,2.621121,2023,5,"Spain","HUMAN_OBSERVATION",39.75,2.55000000000001,6.12,2329,1106
41.83743,8.74665,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.83743,8.74665,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
