"","Longitude","Latitude","year","month","country"
"266",0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
"267",0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
"268",0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
"269",-7.933662,39.675293,2016,4,"Portugal"
"270",-7.933662,39.675293,2016,4,"Portugal"
"271",-7.933662,39.675293,2016,4,"Portugal"
"272",-7.933662,39.675293,2016,4,"Portugal"
"273",-7.933662,39.675293,2016,4,"Portugal"
"274",-7.933662,39.675293,2016,4,"Portugal"
"275",-7.933662,39.675293,2016,4,"Portugal"
"276",-7.933662,39.675293,2016,4,"Portugal"
"277",-7.933662,39.675293,2016,4,"Portugal"
"278",-7.933662,39.675293,2016,4,"Portugal"
"279",-7.933662,39.675293,2016,4,"Portugal"
"280",-7.933662,39.675293,2016,4,"Portugal"
"281",-7.933662,39.675293,2016,4,"Portugal"
"282",-7.933662,39.675293,2016,4,"Portugal"
"283",-7.933662,39.675293,2016,4,"Portugal"
"284",-7.933662,39.675293,2016,4,"Portugal"
"285",-4.121266,50.358933,2011,3,"United Kingdom of Great Britain and Northern Ireland"
"286",-4.132758,50.369445,2010,2,"United Kingdom of Great Britain and Northern Ireland"
"287",-4.132758,50.369445,2010,11,"United Kingdom of Great Britain and Northern Ireland"
"288",-1.130133,60.151716,1988,1,"United Kingdom of Great Britain and Northern Ireland"
"289",-1.408127,50.895028,1976,6,"United Kingdom of Great Britain and Northern Ireland"
"290",-4.14137,50.363742,1974,1,"United Kingdom of Great Britain and Northern Ireland"
"291",-0.923023,50.795519,1958,1,"United Kingdom of Great Britain and Northern Ireland"
"292",-1.018124,50.815046,1958,1,"United Kingdom of Great Britain and Northern Ireland"
"293",-1.106293,50.79107,1958,1,"United Kingdom of Great Britain and Northern Ireland"
"294",-4.110555,50.365556,1956,1,"United Kingdom of Great Britain and Northern Ireland"
"295",-4.14137,50.363742,1956,1,"United Kingdom of Great Britain and Northern Ireland"
"296",-4.110555,50.365556,1955,1,"United Kingdom of Great Britain and Northern Ireland"
"297",-4.145511,50.357161,1948,1,"United Kingdom of Great Britain and Northern Ireland"
"298",-0.281347,50.832727,1947,1,"United Kingdom of Great Britain and Northern Ireland"
"299",-0.243609,50.829998,1937,1,"United Kingdom of Great Britain and Northern Ireland"
"300",25.136605,35.343153,NA,NA,"Greece"
"301",25.136605,35.343153,NA,NA,"Greece"
