"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","TZS_seaway","TZS_geodesic"
51.08704,3.72611,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.85000000000001,30.52,1558,1052,1987,1536
51.2701,4.5183,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,20.68,1563,1026,1992,1517
51.21141,4.58493,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,27.96,1563,1026,1992,1517
51.13611,5.14289,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,66.62,1563,1026,1992,1517
56.17,15.58679,2025,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,278,273,644,610
56.17,15.58679,2025,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,278,273,644,610
57.29953,18.67309,2025,5,"Sweden","HUMAN_OBSERVATION",57.25,18.75,7.2,313,312,393,390
56.45818,12.76943,2025,5,"Sweden","HUMAN_OBSERVATION",56.45,12.85,5.04,532,429,962,718
46.480718,30.341705,2024,1,"Ukraine","HUMAN_OBSERVATION",46.25,30.65,34.94,Inf,1246,Inf,1590
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.8,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.1,4.6,2024,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,23.88,1452,981,1881,1441
50.8,5.65,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
