"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic"
58.24805,11.44707,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2179,1938
58.37795,11.39209,2024,5,"Sweden","HUMAN_OBSERVATION",58.25,11.35,14.45,2173,1934
57.97948,11.54578,2024,5,"Sweden","HUMAN_OBSERVATION",58.05,11.55,7.85,2176,1924
58.33671,11.86226,2024,5,"Sweden","HUMAN_OBSERVATION",58.25,11.65,15.73,2190,1945
58.58037,11.21185,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2184,1959
58.40692,11.61717,2024,5,"Sweden","HUMAN_OBSERVATION",58.45,11.55,6.19,2200,1959
57.9525,11.56444,2024,5,"Sweden","HUMAN_OBSERVATION",57.95,11.65,5.06,2178,1919
57.68749,11.66659,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2174,1897
58.21273,11.47662,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2179,1936
58.04569,11.81105,2024,5,"Sweden","HUMAN_OBSERVATION",58.05,11.75,3.63,2188,1931
57.93444,11.59194,2024,5,"Sweden","HUMAN_OBSERVATION",57.95,11.65,3.84,2178,1919
57.62998,11.88008,2024,5,"Sweden","HUMAN_OBSERVATION",57.55,11.85,9.08,2182,1892
57.83632,11.69629,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2173,1911
58.2074,11.89853,2024,5,"Sweden","HUMAN_OBSERVATION",58.05,11.75,19.58,2188,1931
57.55257,11.92467,2024,5,"Sweden","HUMAN_OBSERVATION",57.55,11.85,4.47,2182,1892
57.98639,11.67754,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2178,1923
57.4877,12.09217,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2198,1896
51.600248,3.68535,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1315,1047
54.188919,7.883176,2024,6,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1699,1445
54.049896,10.752594,2024,6,"Germany","HUMAN_OBSERVATION",54.05,10.85,6.37,2501,1563
53.4,6.15,2024,6,"Netherlands","HUMAN_OBSERVATION",53.45,6.15000000000001,5.57,1558,1311
53.4,6.15,2024,6,"Netherlands","HUMAN_OBSERVATION",53.45,6.15000000000001,5.57,1558,1311
52.45,4.55,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1407,1159
51.4,3.7,2024,6,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,6,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
